DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3160037;1;1;1; ; ; ; ;03;143,462669819544
3160037;1;2;1; ; ; ; ;03;143,462669819544
3160037;1;3;1; ; ; ; ;03;143,462669819544
3160039;1;1;2;2;2;54;1;03;160,969103312244
3160039;1;2;2;2;2;68;1;03;160,969103312244
3160040;1;1;1; ; ; ; ;03;143,266192657609
3160040;1;2;1; ; ; ; ;03;143,266192657609
3160041;1;1;1; ; ; ; ;03;147,982560691672
3160041;1;2;1; ; ; ; ;03;147,982560691672
3160042;1;1;1; ; ; ; ;03;153,240120983208
3160042;1;2;1; ; ; ; ;03;153,240120983208
3160045;1;1;2;2;2;17;2;03;116,999032952706
3160045;1;2;2;2;2;17;2;03;116,999032952706
3160045;1;3;1; ; ; ; ;03;116,999032952706
3160045;1;4;1; ; ; ; ;03;116,999032952706
3160045;1;5;1; ; ; ; ;03;116,999032952706
3160046;1;1;2;6; ; ; ;03;160,969103312244
3160046;1;2;2;6; ; ; ;03;160,969103312244
3160047;1;1;1; ; ; ; ;03;157,845651510519
3160047;1;2;1; ; ; ; ;03;157,845651510519
3160047;1;3;1; ; ; ; ;03;157,845651510519
3160047;1;5;1; ; ; ; ;03;157,845651510519
3160048;1;1;1; ; ; ; ;03;200,391023663019
3160048;1;2;1; ; ; ; ;03;200,391023663019
3160049;1;1;1; ; ; ; ;03;138,008632366073
3160049;1;2;1; ; ; ; ;03;138,008632366073
3160050;1;1;1; ; ; ; ;03;168,647154769482
3160050;1;2;1; ; ; ; ;03;168,647154769482
3160050;1;3;1; ; ; ; ;03;168,647154769482
3160050;1;4;1; ; ; ; ;03;168,647154769482
3160051;1;1;1; ; ; ; ;03;205,84506111649
3160051;1;2;1; ; ; ; ;03;205,84506111649
3160051;1;3;1; ; ; ; ;03;205,84506111649
3160052;1;1;1; ; ; ; ;03;138,008632366073
3160052;1;2;1; ; ; ; ;03;138,008632366073
3160054;1;1;2;2;2;76;1;03;297,076322504326
3160054;1;2;2;2;2;76;1;03;297,076322504326
3160054;1;3;2;2;2;76;1;03;297,076322504326
3160054;1;4;2;2;2;76;1;03;297,076322504326
3160055;1;1;2;6; ; ; ;03;257,417607718657
3160055;1;2;1; ; ; ; ;03;257,417607718657
3160056;1;1;2;5;2;76;1;03;447,249598000734
3160056;1;2;1; ; ; ; ;03;447,249598000734
3160057;1;1;2;6; ; ; ;03;267,338203228362
3160058;1;1;1; ; ; ; ;03;284,017509302454
3160058;1;2;1; ; ; ; ;03;284,017509302454
3160059;1;1;2;6; ; ; ;03;303,42045065636
3160059;1;2;2;6; ; ; ;03;303,42045065636
3160059;1;3;1; ; ; ; ;03;303,42045065636
3160060;1;1;1; ; ; ; ;03;229,147031338596
3160061;1;1;2;6; ; ; ;03;242,549119721174
3160061;1;2;2;2;2;76;1;03;242,549119721174
3160062;1;1;1; ; ; ; ;03;227,974282118277
3160062;1;2;1; ; ; ; ;03;227,974282118277
3160063;1;1;1; ; ; ; ;03;216,206693177915
3160063;1;2;1; ; ; ; ;03;216,206693177915
3160064;1;1;1; ; ; ; ;03;219,470914538529
3160064;1;2;1; ; ; ; ;03;219,470914538529
3160064;1;3;1; ; ; ; ;03;219,470914538529
