DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3139125;1;1;2;6; ; ; ;02;117,285452530213
3139125;1;2;2;6; ; ; ;02;117,285452530213
3139125;1;3;1; ; ; ; ;02;117,285452530213
3139126;1;1;2;6; ; ; ;02;142,201169573252
3139126;1;2;1; ; ; ; ;02;142,201169573252
3139126;1;4;2;1;2;44;1;02;142,201169573252
3139127;1;1;2;6; ; ; ;02;351,191715111525
3139127;1;2;1; ; ; ; ;02;351,191715111525
3139128;1;1;2;6; ; ; ;02;318,630224594426
3139128;1;2;2;6; ; ; ;02;318,630224594426
3139128;1;3;2;6; ; ; ;02;318,630224594426
3139128;1;4;2;6; ; ; ;02;318,630224594426
3139129;1;1;2;6; ; ; ;02;258,793749599725
3139130;1;1;1; ; ; ; ;02;226,304132580184
3139130;1;2;2;6; ; ; ;02;226,304132580184
3139131;1;1;2;6; ; ; ;02;367,535459573168
3139132;1;1;1; ; ; ; ;02;334,436675649357
3139132;1;2;1; ; ; ; ;02;334,436675649357
3139132;1;3;1; ; ; ; ;02;334,436675649357
3139133;1;1;1; ; ; ; ;02;292,068313088777
3139133;1;2;1; ; ; ; ;02;292,068313088777
3139134;1;1;1; ; ; ; ;02;242,450005138082
3139134;1;2;1; ; ; ; ;02;242,450005138082
3139135;1;1;1; ; ; ; ;02;289,827280650266
3139135;1;2;1; ; ; ; ;02;289,827280650266
3139136;1;1;2;1;1; ; ;02;290,436447554535
3139137;1;1;2;2;2;11;1;02;225,694965675915
3139137;2;1;1; ; ; ; ;02;225,694965675915
3139137;2;2;1; ; ; ; ;02;225,694965675915
3139138;1;1;2;1;2;66;2;02;319,412652618908
3139139;1;1;1; ; ; ; ;02;273,681408092368
3139139;1;2;2;1;2;66;2;02;273,681408092368
3139140;1;1;1; ; ; ; ;02;362,875587307018
3139140;1;2;1; ; ; ; ;02;362,875587307018
3139140;1;3;1; ; ; ; ;02;362,875587307018
3139140;1;4;1; ; ; ; ;02;362,875587307018
3139141;1;1;1; ; ; ; ;02;411,337815764244
3139141;1;2;1; ; ; ; ;02;411,337815764244
3139141;1;3;1; ; ; ; ;02;411,337815764244
3139141;1;4;1; ; ; ; ;02;411,337815764244
3139142;1;1;1; ; ; ; ;02;367,535459573168
3139143;1;1;1; ; ; ; ;02;290,436447554535
3139144;1;1;2;4;2;18;2;02;64,7315170475797
3139144;1;2;2;4;2;18;2;02;64,7315170475797
3139144;1;3;2;4;2;18;2;02;64,7315170475797
3139145;1;1;2;6; ; ; ;02;66,3058678468139
3139146;1;1;1; ; ; ; ;02;79,3594867831571
3139146;1;2;1; ; ; ; ;02;79,3594867831571
3139146;1;3;1; ; ; ; ;02;79,3594867831571
3139146;1;4;1; ; ; ; ;02;79,3594867831571
3139147;1;1;1; ; ; ; ;02;56,8450177446307
3139147;1;2;1; ; ; ; ;02;56,8450177446307
3139148;1;1;2;6; ; ; ;02;67,0975316248039
3139149;1;1;1; ; ; ; ;02;58,7773830636443
3139150;1;1;1; ; ; ; ;02;362,875587307018
3139150;1;2;1; ; ; ; ;02;362,875587307018
3139150;1;3;1; ; ; ; ;02;362,875587307018
3139150;1;4;1; ; ; ; ;02;362,875587307018
3139151;1;1;1; ; ; ; ;02;287,089195982121
3139151;1;2;1; ; ; ; ;02;287,089195982121
3139151;1;3;1; ; ; ; ;02;287,089195982121
3139151;1;4;1; ; ; ; ;02;287,089195982121
3139151;1;5;1; ; ; ; ;02;287,089195982121
