DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3118028;1;2;1; ; ; ; ;01;224,053840913857
3118028;1;3;1; ; ; ; ;01;224,053840913857
3118028;1;5;1; ; ; ; ;01;224,053840913857
3118028;1;6;1; ; ; ; ;01;224,053840913857
3118029;1;1;2;6; ; ; ;01;81,1563824179574
3118029;1;2;1; ; ; ; ;01;81,1563824179574
3118029;1;3;2;2;2;76;1;01;81,1563824179574
3118029;1;4;2;2;2;76;1;01;81,1563824179574
3118030;1;1;2;6; ; ; ;01;160,432520031225
3118030;1;2;1; ; ; ; ;01;160,432520031225
3118030;1;3;1; ; ; ; ;01;160,432520031225
3118030;1;4;1; ; ; ; ;01;160,432520031225
3118031;1;1;2;6; ; ; ;01;136,218737802618
3118031;1;2;1; ; ; ; ;01;136,218737802618
3118032;1;1;1; ; ; ; ;01;168,909994686558
3118032;1;2;1; ; ; ; ;01;168,909994686558
3118033;1;1;2;6; ; ; ;01;201,321631464762
3118033;1;2;2;6; ; ; ;01;201,321631464762
3118033;1;3;1; ; ; ; ;01;201,321631464762
3118034;1;1;2;6; ; ; ;01;163,200052094867
3118034;1;2;1; ; ; ; ;01;163,200052094867
3118034;1;3;1; ; ; ; ;01;163,200052094867
3118034;1;4;1; ; ; ; ;01;163,200052094867
3118035;1;1;1; ; ; ; ;01;140,668255787391
3118035;1;2;2;6; ; ; ;01;140,668255787391
3118036;1;1;2;6; ; ; ;01;168,082018398756
3118036;1;2;2;6; ; ; ;01;168,082018398756
3118037;1;1;2;6; ; ; ;01;136,702250715027
3118037;1;2;2;6; ; ; ;01;136,702250715027
3118037;1;3;1; ; ; ; ;01;136,702250715027
3118037;1;4;1; ; ; ; ;01;136,702250715027
3118038;1;1;1; ; ; ; ;01;196,666360089361
3118038;1;2;1; ; ; ; ;01;196,666360089361
3118038;1;3;1; ; ; ; ;01;196,666360089361
3118038;1;4;1; ; ; ; ;01;196,666360089361
3118039;1;1;2;6; ; ; ;01;179,942850600848
3118039;1;2;2;6; ; ; ;01;179,942850600848
3118039;1;3;2;6; ; ; ;01;179,942850600848
3118039;1;4;2;1;2;66;1;01;179,942850600848
3118039;1;5;2;6; ; ; ;01;179,942850600848
3118041;1;1;2;1;2;11;1;01;186,433434779077
3118041;1;2;2;1;2;11;1;01;186,433434779077
3118041;1;3;2;1;2;11;1;01;186,433434779077
3118042;1;1;2;6; ; ; ;01;149,659014420719
3118042;1;2;2;6; ; ; ;01;149,659014420719
3118042;1;3;1; ; ; ; ;01;149,659014420719
3118042;1;4;2;6; ; ; ;01;149,659014420719
3118042;1;6;2;6; ; ; ;01;149,659014420719
3118042;1;7;1; ; ; ; ;01;149,659014420719
3118043;1;1;1; ; ; ; ;01;122,69570736518
3118043;1;2;1; ; ; ; ;01;122,69570736518
3118044;1;1;2;3;2;11;1;01;184,725665739393
3118044;1;2;2;3;2;11;1;01;184,725665739393
3118044;1;3;2;3;2;11;1;01;184,725665739393
3118044;1;4;2;3;2;11;1;01;184,725665739393
3118045;1;1;2;6; ; ; ;01;212,614319799004
3118045;1;2;1; ; ; ; ;01;212,614319799004
3118045;1;3;1; ; ; ; ;01;212,614319799004
3118045;1;4;1; ; ; ; ;01;212,614319799004
3118046;1;1;2;1;2;11;1;01;146,55640475423
3118046;1;2;2;5;2;11;1;01;146,55640475423
3118046;2;1;2;6; ; ; ;01;146,55640475423
3118047;1;1;2;6; ; ; ;01;178,314943709041
3118047;1;2;1; ; ; ; ;01;178,314943709041
3118047;1;3;1; ; ; ; ;01;178,314943709041
3118048;1;1;2;3;2;63;1;01;107,058146000464
3118048;1;2;1; ; ; ; ;01;107,058146000464
3118048;1;3;1; ; ; ; ;01;107,058146000464
3118049;1;1;1; ; ; ; ;01;155,629917206896
3118049;1;2;1; ; ; ; ;01;155,629917206896
3118049;1;3;1; ; ; ; ;01;155,629917206896
3118050;1;1;1; ; ; ; ;01;87,6469665961864
3118050;1;2;1; ; ; ; ;01;87,6469665961864
3118051;1;1;1; ; ; ; ;01;127,145225349952
3118051;1;2;1; ; ; ; ;01;127,145225349952
3118052;1;1;2;6; ; ; ;01;140,668255787391
3118052;1;2;2;6; ; ; ;01;140,668255787391
